WeekYear,CN,T2,T3,T4,T5,T6,T7,Direction
2017-45,3,-5,-1,7,-4,-6,-7,0
2017-46,-3,5,2,10,7,2,-1,1
2017-47,3,4,1,-2,0,0,6,1
2017-48,6,4,4,4,-9,11,5,1
2017-49,7,-4,4,8,20,-2,-10,1
2017-50,15,6,0,-6,6,7,7,1
2017-51,2,-3,-4,-6,-13,-13,13,0
2017-52,-13,8,15,-6,-5,4,-13,1
2017-53,9,-5,6,7,-1,14,1,0
2018-02,-6,-7,1,-3,-6,-1,6,0
2018-03,-7,4,-21,-10,11,3,14,0
2018-04,-12,-7,6,0,-1,1,2,1
2018-05,3,-3,-10,-2,-9,-4,6,0
2018-06,-8,-16,-1,18,-6,11,-3,0
2018-07,-2,7,-2,8,8,0,7,0
2018-08,0,2,7,-10,-6,3,-5,1
2018-09,-3,9,4,-1,4,1,6,0
2018-10,-3,3,-6,-10,-5,-6,4,0
2018-11,5,-5,-1,-8,-2,4,-6,0
2018-12,-5,11,7,0,-2,0,3,0
2018-13,-4,-7,0,1,-6,-10,6,0
2018-14,-4,2,6,-8,-2,-1,6,0
2018-15,0,-4,2,1,11,6,-2,1
2018-16,4,-3,1,0,2,3,3,1
2018-17,2,-1,6,-4,-2,5,0,0
2018-18,0,0,-4,2,6,-1,2,0
2018-19,-3,-3,-2,2,-2,-6,-3,1
2018-20,2,2,-2,-3,0,-2,2,0
2018-21,3,-2,-2,-9,0,-1,2,0
2018-22,-2,-2,4,-3,4,-2,3,0
2018-23,1,-3,2,-1,2,-1,-1,0
2018-24,-11,-1,0,-6,5,-1,0,0
2018-25,0,4,0,1,-1,-8,0,0
2018-26,1,2,-1,-1,0,-3,7,1
2018-27,0,5,0,1,-2,1,-1,0
2018-28,3,-1,-5,0,-3,2,0,1
2018-29,2,5,8,4,-1,-1,1,1
2018-30,1,3,7,-1,1,-1,0,0
2018-31,0,-3,-2,-2,0,0,-7,0
2018-32,0,-1,3,-12,4,-1,0,0
2018-33,-2,-1,-3,9,-2,2,-3,1
2018-34,0,2,-1,0,0,2,2,1
2018-35,-1,1,5,0,-2,3,2,0
2018-36,1,0,1,-6,-8,1,-3,1
2018-37,3,-2,0,1,3,-1,1,0
2018-38,-1,-3,0,0,1,5,0,0
2018-39,0,-1,-4,2,0,2,-1,0
2018-40,0,0,-1,0,1,0,0,0
